Exporter,Importer,cross,Year,Quantity_mt ,Value_usd ,Unnamed: 6,Import trade _metric Tons,Import trade _Values _USD ,country1,country2,longitude1,latitude1,longitude2,latitude2,trade_scaled,normal_trade
47,53,MUS_SYC,2017,31,51,,38745,70007,MUS,SYC,57.5522,-20.3484,55.454,-4.6796,0.04997832917975945,78268.0311190067
47,53,MUS_SYC,2018,167,384,,30142,54744,MUS,SYC,57.5522,-20.3484,55.454,-4.6796,0.03888106331491314,68379.90426663116
47,53,MUS_SYC,2019,71,182,,40334,62190,MUS,SYC,57.5522,-20.3484,55.454,-4.6796,0.052028027594177774,49299.10316415083
47,53,MUS_SYC,2020,2,7,,32120,51324,MUS,SYC,57.5522,-20.3484,55.454,-4.6796,0.041432544412282196,48457.378143451846
47,53,MUS_SYC,2021,0,0,,40372,65184,MUS,SYC,57.5522,-20.3484,55.454,-4.6796,0.05207704492567425,74022.60773223275
47,53,MUS_SYC,2022,0,0,,40768,68686,MUS,SYC,57.5522,-20.3484,55.454,-4.6796,0.052587857117058545,65236.17532546385
48,5,SWZ_ZAF,2003,864,1560,,3473,5820,SWZ,ZAF,31.39525590206532,-26.48985528852001,25.048013879861678,-28.947033259979115,0.004479926112822418,94981.20989952346
48,5,SWZ_ZAF,2004,1053,3867,,3369,6385,SWZ,ZAF,31.39525590206532,-26.48985528852001,25.048013879861678,-28.947033259979115,0.0043457734160952275,88030.03428143013
48,5,SWZ_ZAF,2005,733,1374,,2113,5014,SWZ,ZAF,31.39525590206532,-26.48985528852001,25.048013879861678,-28.947033259979115,0.002725621617159162,57059.78439944846
48,5,SWZ_ZAF,2006,134,209,,1268,2715,SWZ,ZAF,31.39525590206532,-26.48985528852001,25.048013879861678,-28.947033259979115,0.0016356309562507417,78803.59219532266
48,5,SWZ_ZAF,2007,34,15,,900,2571,SWZ,ZAF,31.39525590206532,-26.48985528852001,25.048013879861678,-28.947033259979115,0.0011609367986006843,71776.08666585271
48,5,SWZ_ZAF,2008,20,122,,0,2213,SWZ,ZAF,31.39525590206532,-26.48985528852001,25.048013879861678,-28.947033259979115,0.0,56570.95763340802
48,5,SWZ_ZAF,2009,0,109,,0,2805,SWZ,ZAF,31.39525590206532,-26.48985528852001,25.048013879861678,-28.947033259979115,0.0,87044.80780462109
48,5,SWZ_ZAF,2010,13,60,,0,3032,SWZ,ZAF,31.39525590206532,-26.48985528852001,25.048013879861678,-28.947033259979115,0.0,96034.57503437506
48,5,SWZ_ZAF,2011,2,2,,45,3663,SWZ,ZAF,31.39525590206532,-26.48985528852001,25.048013879861678,-28.947033259979115,5.804683993003421e-05,101221.75237083632
48,5,SWZ_ZAF,2012,1,2,,1510,3533,SWZ,ZAF,31.39525590206532,-26.48985528852001,25.048013879861678,-28.947033259979115,0.0019477939620967035,72196.09558213892
48,5,SWZ_ZAF,2013,0,0,,1825,2965,SWZ,ZAF,31.39525590206532,-26.48985528852001,25.048013879861678,-28.947033259979115,0.002354121841606943,65732.10665389297
48,5,SWZ_ZAF,2014,9,16,,944,2711,SWZ,ZAF,31.39525590206532,-26.48985528852001,25.048013879861678,-28.947033259979115,0.0012176937087544954,81893.03196163956
48,5,SWZ_ZAF,2015,4,3,,966,2403,SWZ,ZAF,31.39525590206532,-26.48985528852001,25.048013879861678,-28.947033259979115,0.0012460721638314011,71785.98863897662
48,5,SWZ_ZAF,2016,0,0,,1029,2314,SWZ,ZAF,31.39525590206532,-26.48985528852001,25.048013879861678,-28.947033259979115,0.0013273377397334488,62160.785267872474
48,5,SWZ_ZAF,2017,0,0,,1115,2905,SWZ,ZAF,31.39525590206532,-26.48985528852001,25.048013879861678,-28.947033259979115,0.0014382717004886253,40730.05277896861
48,5,SWZ_ZAF,2018,0,0,,1029,2638,SWZ,ZAF,31.39525590206532,-26.48985528852001,25.048013879861678,-28.947033259979115,0.0013273377397334488,67454.13408835974
48,5,SWZ_ZAF,2019,8,15,,1106,2515,SWZ,ZAF,31.39525590206532,-26.48985528852001,25.048013879861678,-28.947033259979115,0.0014266623325026185,99347.29519170162
48,5,SWZ_ZAF,2020,0,0,,1097,2255,SWZ,ZAF,31.39525590206532,-26.48985528852001,25.048013879861678,-28.947033259979115,0.0014150529645166117,54443.01053866607
48,5,SWZ_ZAF,2021,0,0,,1330,2888,SWZ,ZAF,31.39525590206532,-26.48985528852001,25.048013879861678,-28.947033259979115,0.0017156066023765665,50011.08403005188
48,13,SWZ_MOZ,2003,4,19,,264,422,SWZ,MOZ,31.39525590206532,-26.48985528852001,35.47261597864435,-17.230448975659677,0.00034054146092286734,74918.54332957917
48,13,SWZ_MOZ,2004,6,9,,849,2949,SWZ,MOZ,31.39525590206532,-26.48985528852001,35.47261597864435,-17.230448975659677,0.001095150380013312,58035.12714626278
48,13,SWZ_MOZ,2005,0,0,,413,588,SWZ,MOZ,31.39525590206532,-26.48985528852001,35.47261597864435,-17.230448975659677,0.0005327409975800917,94614.77231858688
48,13,SWZ_MOZ,2006,11,10,,270,359,SWZ,MOZ,31.39525590206532,-26.48985528852001,35.47261597864435,-17.230448975659677,0.00034828103958020525,85280.33606031949
48,13,SWZ_MOZ,2007,0,0,,271,450,SWZ,MOZ,31.39525590206532,-26.48985528852001,35.47261597864435,-17.230448975659677,0.00034957096935642825,61203.53068684795
48,13,SWZ_MOZ,2008,3,9,,40,85,SWZ,MOZ,31.39525590206532,-26.48985528852001,35.47261597864435,-17.230448975659677,5.1597191048919293e-05,73249.26082154385
48,13,SWZ_MOZ,2009,0,30,,35,4,SWZ,MOZ,31.39525590206532,-26.48985528852001,35.47261597864435,-17.230448975659677,4.5147542167804385e-05,86997.19697187215
48,13,SWZ_MOZ,2010,0,12,,0,0,SWZ,MOZ,31.39525590206532,-26.48985528852001,35.47261597864435,-17.230448975659677,0.0,78784.21228788514
48,13,SWZ_MOZ,2011,2,12,,0,2,SWZ,MOZ,31.39525590206532,-26.48985528852001,35.47261597864435,-17.230448975659677,0.0,58618.65147930631
48,13,SWZ_MOZ,2012,3,10,,0,0,SWZ,MOZ,31.39525590206532,-26.48985528852001,35.47261597864435,-17.230448975659677,0.0,49360.53953075167
